pos,name,team,drafts,adp,adp.sd,pos.rk,pos.rk.sd,min,max
TE,David TE Johnson,PIT,1,1,,1,,1,1
TE,Virgil Green,DEN,1,178,,25,,178,178
RB,Mike Tolbert,BUF,1,183,,58,,183,183
QB,Trevone Boykin,SEA,1,209,,28,,209,209
WR,Isaiah Ford,FA,1,209,,79,,209,209
QB,DeShone Kizer,FA,1,215,,29,,215,215
RB,Cameron Artis-Payne,CAR,1,215,,63,,215,215
WR,Russell Shepard,CAR,1,218,,83,,218,218
TE,Daniel Brown,CHI,1,219,,29,,219,219
TE,Xavier Grimble,PIT,1,219,,29,,219,219
RB,Elijah McGuire,FA,1,221,,69,,221,221
TE,Jacob Tamme,ATL,1,222,,30,,222,222
WR,Nelson Agholor,PHI,1,226,,83,,226,226
RB,Alfred Blue,HOU,1,228,,67,,228,228
RB,Brian Hill,FA,1,229,,62,,229,229
RB,Kenjon Barner,LAC,1,229,,68,,229,229
TE,Ben Koyack,JAC,1,229,,30,,229,229
QB,Matt Barkley,SFO,1,230,,29,,230,230
TE,Ryan Griffin,HOU,1,231,,32,,231,231
TE,Gerald Everett,FA,1,232,,32,,232,232
WR,Eric Rogers,SFO,1,232,,81,,232,232
TE,Darren Waller,BAL,1,233,,32,,233,233
RB,Donnel Pumphrey,FA,1,234,,64,,234,234
RB,Kenneth Farrow,LAC,1,234,,67,,234,234
QB,A.J. McCarron,CIN,1,235,,30,,235,235
TE,Niles Paul,WAS,1,235,,35,,235,235
RB,Tra Carson,CIN,1,237,,66,,237,237
RB,Jonathan Williams,BUF,2,209.5,6.36,62,1.41,205,214
WR,Brice Butler,DAL,2,224.5,19.09,85.5,2.12,211,238
RB,Corey Clement,FA,2,230.5,2.12,66.5,0.71,229,232
RB,Matt Asiata,MIN,2,231,11.31,66,1.41,223,239
RB,Peyton Barber,TBB,2,232.5,10.61,67,2.83,225,240
WR,Josh Reynolds,FA,2,233.5,2.12,83,1.41,232,235
TE,Maxx Williams,BAL,2,238,2.83,33.5,0.71,236,240
QB,Josh McCown,NYJ,3,199,26.89,27.33,3.21,182,230
RB,Keith Marshall,WAS,3,207.33,45.79,64,8.72,155,240
TE,Trey Burton,PHI,3,214.33,27.14,29,4.36,183,230
